word_or_term,short_definition,long_definition,example,reference
Actionable Insight,"Evidence-driven findings that inform actions that should be taken by decision makers.

See also <Insight> (and within that definition <Design Insights>).","An insight which is actionable are...
1) Aligned: it should be closely tied to key goals or KPIs.
2) put in Context: it should explain why an insight is important or unique (benchmarks + comparisons can be helpful).
3) Relevant: delivered to the right people at the right time, using the right channel(s). 
4) Specific: it must clearly explain why something has happened.
5) Novel: it should challenge or evolve current beliefs and reveal new patterns.","""An insight that drives action is typically more valuable than one that simply answers a question - especially an insight that makes you rethink something and pushes you in a new direction. They are the highly treasured output of all the work that goes into collecting, preparing and analyzing your data. Maximizing the actionable insights you formulate from any investment in research is important.""","https://www.forbes.com/sites/brentdykes/2016/04/26/actionable-insights-the-missing-link-between-data-and-business-value

https://www.techopedia.com/definition/31721/actionable-insight

https://en.wikipedia.org/wiki/Insight

https://hbr.org/2012/09/metrics-are-easy-insights-are-hard

http://www.copyright.com/blog/turn-analytics-actionable-insights/"
Agent (Software Agent),"Software that acts on behalf of a user or other party/agent, and decides which (if any) action is appropriate to take.

Agents are also known as bots (from robot).

See also <Autonomous Agent>, <Calculator>, <Engine>, <Artificial Intelligence (AI)>.","Agents may be ""embodied"" (e.g. a robot), or embedded (such as in a chatbot executing on a phone (e.g. Siri)). Software agents may be autonomous or work together with other agents or people.

Agents interacting with people may possess human-like qualities such as natural language understanding and speech, personality.

- Intelligent agents exhibit some aspect of artificial intelligence, such as learning and reasoning.
- Autonomous agents are capable of modifying the way in which they achieve their objectives.
- Distributed agents are executed on physically distinct computers
- Multi-agent systems are a collection of distributed agents that work together to achieve an objective that could not be accomplished by a single agent acting alone
- Mobile agents are agents that can relocate their execution onto different processors
",,Wikipedia
"Agile 
(Kakama)","Agile is a method of project management, used especially for software development (but is now being used more widely than just development), that is characterised by the division of tasks into short phases of work and frequent reassessment and adaptation of plans.","Agile was originally an approach for software development (but is now being adopted more widely in different industries). The agile method gives teams the ability to take requirements and allows for their solutions evolve through the collaborative effort of self-organising and cross-functional teams and their customer(s)/end user(s). It advocates adaptive planning, evolutionary development, early delivery, and continual improvement, and it encourages rapid and flexible response to change. It focuses the team on 'just enough' (or minimal viable product) and those pieces of work should be able to be completed within a one to two week planning cycle.

With the focus not being purely on software development the original Manifesto for Agile Software Development has evolved to Modern Agile (see links following), which makes agile as a method accessible to other industries.The values and principles have been derived from and underpin a broad range of frameworks, including Scrum and Kanban.",,"https://en.wikipedia.org/wiki/Agile_software_development
https://en.wikipedia.org/wiki/Google_Dictionary
http://modernagile.org
http://agilemanifesto.org"
AISA (Approved Information Sharing Agreement),An enabling tool that allows government agencies to provide efficient and effective public services by allowing agencies to collaborate and share information without intruding on individuals' rights or exposing agencies to legal risk.,As of 2018 around 7 AISAs exist between government agencies.,"An AISA exists between Inland Revenue and New Zealand Police ""to assist Police to deliver the public service of reducing the rate of serious criminal offending in New Zealand. This agreement authorises the disclosure of information to New Zealand Police to assist Police to deliver the public service of reducing the rate of serious criminal offending in New Zealand.""",https://www.privacy.org.nz/privacy-for-agencies/information-sharing/approved-information-sharing-agreements/
Alpha (phase of Lab workflow model),"The third phase in the Service Innovation Operational Workflow Model where a very basic working service is developed to gather user feedback, test that it works as intended, and inform whether it is technically feasible to build.

See also <Minimum Viable Product (MVP)>","As the service is built the team seeks to:
1) Test the hypotheses created in the <Design Discovery> phase.
2) Test that the service you want to build is technically possible
3) Test that the service facilitates intended outcomes
4) Observe if the service causes any unintended outcomes

Research is completed with a small group of users, and early feedback is gathered about the design of the service. 

Note: Software in Alpha state can start to be tested with users beyond limited levels enabled by rough prototypes. Alpha software must be considered unstable - with implications including data loss. ","""If you pass an alpha assessment, you can start writing your code in production and recruiting users to use your private beta."" (GOV.UK Service Standard)","Service Innovation Lab - Welcome Pack
https://docs.google.com/document/d/1DQOS4bhd8VcZY2ftpGGN-lco-5jdiI9_z66Yg4Jpu-Y/edit?usp=sharing

UK Government Service Assessments
https://www.gov.uk/service-manual/service-assessments/how-service-assessments-work
"
API,Application Programming Interface,"A set of clearly defined methods of communication between various software components. Computer programs are typically organised and assembled into some type of software components that are combined to form larger IT systems.  To prevent a massive tangle of complex software in which every piece of software is able to talk to every other piece of software, interfaces (or APIs) are used to partition the IT system.  

An API hides a lot of detail of the internal workings of a software component that the outside world does not need to know.  In this way, APIs provide a description of how to use the functionality of a software component and to exchange data with it.  At run-time, software components interact with one another through the application programming interface.

Governments are currently thinking about APIs for service delivery, including how open government APIs can be used to deliver innovative services by third parties, and by businesses to directly transact with government.","""There are over a thousand applications which use the Trade Me API, built by individuals or organisations outside Trade Me. These applications provide services which meet needs of users not catered for by the Trade Me website or API - in some cases by providing a different interface to the same underlying functions - and in other cases by mashing up a combination of APIs.""

NZ Companies Office: ""We offer a range of APIs that help our customers to build software that connects directly to our systems.""

""NZQA has created an API to allow access to a student’s Record of Achievement”.","Federated Services Delivery Glossary
https://docs.google.com/document/d/1RynDtghq41mxRCL86vRgn_M4KjyDigJtamjEd9IJnKw/edit?usp=sharing

https://webtoolkit.govt.nz/blog/emerging-tech-apis-for-service-delivery/"
Artificial Intelligence (AI),"Intelligence demonstrated by machines, in contrast to the natural intelligence displayed by humans and other animals.

An intelligent <agent> is any device that perceives its environment and takes actions that maximize its chance of successfully achieving its goals.

In everyday usage, ""artificial intelligence"" refers to any time when a machine mimics ""cognitive"" functions that humans associate with other human minds, such as ""learning"" and ""problem solving"".","Modern machine capabilities generally classified as AI include successfully understanding human speech, competing at the highest level in strategic game systems (such as Chess and Go), autonomously operating cars, and intelligent routing in content delivery networks and military simulations.

Machine learning algorithms (software) are a subset of AI algorithms - these are computer algorithms that improve automatically through experience (they are trained to recognise patterns). 

For any system that learns, the output is determined by the input it receives. There are therefore many sources of <bias>. These sources include (but are not limited to!) the data we use to train systems, and our interactions with them in the “wild"". ","""we often see the machine learning and AI buzzwords being thrown around to indicate that an algorithm was used to analyze data and make a prediction. Using an algorithm to predict an outcome of an event is not machine learning. Using the outcome of your prediction to improve future predictions is.""","Wikipedia

https://www.datasciencecentral.com/profiles/blogs/artificial-intelligence-vs-machine-learning-vs-deep-learning

AI Forum NZ - Shaping a Future New Zealand
https://aiforum.org.nz/wp-content/uploads/2018/07/AI-Report-2018_web-version.pdf"
Autonomous Agents,An intelligent <Agent> operating on an owner's behalf but without any interference of that ownership entity.,"Entities operating on an owner's behalf but without any interference of that ownership entity. Agents may be embodied (e.g. a robot), or embedded (e.g. Siri). Automous agents are capable of modifying the way in which they achieve their objectives.",,Emerging Tech Landscape
AI applications,"Programs that have been developed to perform specific tasks, and could be used for a wide range of activities.
","Applications include:
- Identification (Facial recognition, fingerprints, voice, gait)
- Natural language generation/processing (NLG/NLP)
- Deep fakes
- Process analysis/optimisation
- Conversational interfaces
",,Emerging Tech Landscape
AI tools,"AI Tools help to solve learning, reasoning, knowledge, planning (etc!) problems, and are typically based on search and mathematical optimisation, including statistics + probability.
",,,Emerging Tech Landscape
